osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
5338847312,,Oilibya,,Nairobi,,,,,Naivasha Road,fuel,,,
5339400382,,Oilcom Petrol Station Westlands,,Nairobi,,,,,Mpaka Road,fuel,,,
5340449107,,Shell,,Nairobi,,,,,Waiyaki Way,fuel,,,
5340624321,,Total Kimende,,Kimende,,,,,Nairobi-Nakuru Road,fuel,,,
5356215608,,OLA Energy,,Nairobi,,,,,Murang'a Road,fuel,,,
5385208124,,She’ll,,,,,,,,fuel,,,
5392739324,,Shell,,,,,,,,fuel,,,
5403105422,,Shell,,,,,,,,fuel,,,
5448456556,,Classics,,,,,,,,fuel,,,
5472512802,,Mo Gas,,Kirigiti,,,,,Ruiru-Kamiti Road,fuel,,,
5475093944,,National Oil Corporation-Ngara,,Nairobi,,,,,Ngara Road,fuel,,,
5475120244,,Rubis,,Nairobi,,,,,Ring Road Ngara,fuel,,,
5475170857,,Total,,Nairobi,,,,,General Waruinge Street,fuel,,,
5479300924,,Total,,Madogo,,,,,Garissa-Daadab Road,fuel,,,
5488216021,,Baragoi Petrol & Diesel,,,,,,,,fuel,,,
5488798822,,Heller,,,,,,,,fuel,,,
5496066043,,Delta Petroleum,,Nairobi,,,,,First Avenue Eastleigh,fuel,,,
5496066045,,Hass petroleum,,Nairobi,,,,,First Avenue Eastleigh,fuel,,,
5496066046,,Engen Petrol Station,,Nairobi,,,,,First Avenue Eastleigh,fuel,,,
5496066065,,Shell,,Nairobi,"Bama,",,,,Jogoo Road,fuel,,,
5496079228,,Shell,,Nairobi,,,,,Jogoo Road,fuel,,,
5496079244,,Mogas Petrol Station,,Nairobi,,,,,Hazama Road,fuel,,,
5496079673,,Kenol Petrol Station,,Buruburu,,,,,Mumias South Road,fuel,,,
5496602968,,Rubis,,Nairobi,,,,,Ngara Road,fuel,,,
5496786745,,OLA Energy,,Nairobi,,,,,Tom Mboya Street,fuel,,,
5526332569,,Shell Kasarani Petrol Station,,Nairobi,,,,,Kasarani Mwiki Road,fuel,,,
5536013005,,Total,,Nairobi,,,,,Koinage Street,fuel,,,
5539579712,,Total,,Nairobi,,,,,Likoni Road,fuel,,,
5539579713,,Rubis,,Nairobi,,,,,Likoni Road,fuel,,,
5539579719,,Shell,,Nairobi,,,,,Likoni Road,fuel,,,
5540763538,,Total,,Wangige,,,,,Gitaru Road,fuel,,,
5540791550,,Shell,,Kiambu,,,,,Limuru Road,fuel,,,
5541744494,,Blue Sky Filling Station,,Nairobi,,,,,Northern Bypass,fuel,,,
5552457016,,Total,,Nairobi,,,,,Kimathi Street,fuel,,,
5557128799,,OLA Energy,,Nairobi,,,,,Bunyala Road,fuel,,,
5569591300,,Shell,,Nairobi,,,,,Enterprise Road,fuel,,,
5580878013,,Centoil,,Nairobi,,,,,Waiyaki Way,fuel,,,
5581701614,,Shell,,Banana,,,,,Limuru Road,fuel,,,
5581708038,,KK Promote,,Raini,,,,,Limuru Road,fuel,,,
5587817776,,Petros Filling Station,24/7,,,,,no,,fuel,,,
5588931919,,Shell Kiserian,,Kiserian,,,,,Magadi Road,fuel,,,
5588932538,,New Kiserian Junction Gas Station,,,,,,,,fuel,,,
5592138077,,Timas Petrol Station,24/7,,,,,,,fuel,,,
5592178610,,Ocal,24/7,wOTE,,,,,Machakos-Wote Road,fuel,,,
5641419287,,Simple Life Petrol Station,Mo- Fr 6:00-10:00,,,,,,,fuel,,,
5702739883,,Lake oil,,Kiomo-kyethani location,,,,,Garissa Road,fuel,,,
5736159660,,Total Wote Service Station,24/7,Wote,,,,,Machakos-Wote Road,fuel,,,
5736384060,,Timas Petrol station,Mo-Fr 06:00-17:00,,,,,,,fuel,,,
5768445294,,Mwingi Shell Petrol Station,,Mwingi,,,,,Garissa Road,fuel,,,
5781632986,,Mart Petrol Station,,,,,,,,fuel,,,
5781632998,,Tobil Petrol Station,,,,,,,,fuel,,,
5800785524,,Kobil,,,,,,,,fuel,,,
5800785525,,Boss Energy,,,,,,,,fuel,,,
5801168319,,Total,,,,,,,,fuel,,,
5817717031,,Sawmill Petrol Station,,,,,,,,fuel,,,
5817722203,,Kenol Petrol Station,,,,,,,,fuel,,,
5817722225,,Kobil Petrol Station,,,,,,,,fuel,,,
5826717987,,OLA Energy,,Mombasa,,,,,Haile Selassie Road,fuel,,,
5886549887,,Delgas,,,,,,,Kangundo Road,fuel,,,
5886553686,,Total,,Nairobi,,,,,Kangundo Road,fuel,,,
5886553693,,OLA Energy,,Nairobi,,,,,Kangundo Road,fuel,,,
5886553695,,OLA Energy,,Nairobi,,,,,Kangundo Road,fuel,,,
5886553890,,National oil,,,,,,,Kangundo Road,fuel,,,
5886555686,,ORYX,,Nairobi,,,,,Kangundo Road,fuel,,,
5886555688,,Lake oil,,Nairobi,,,,,Kangundo Road,fuel,,,
5887135685,,Shell,,Nairobi,,,,,Kangundo Road,fuel,,,
5903941229,,Queens Petrol Station,,Marsabit,,,,,Marsabit-Moyale road,fuel,,,
5922561785,,LuqMan Petrol Station,,Syokimau,,,,,Mombasa Road,fuel,,,
5993019652,,Total,,Mombasa,,,,,Swalenguru road,fuel,,,
5995166166,,Total Petrol Station,,Mombasa,,,,,Lumumba Road,fuel,,,
5997646726,,Changamwe Filling Station,,Mombasa,,,,,Magongo road,fuel,,,
6038770496,,JOHARI FASHIONS,,Mombasa,,,,,Jomo Kenyatta Road,fuel,,,
6039167983,,Oil Libya Lights,,Mombasa,,,,,Nyali road,fuel,,,
6039167984,,OLA Energy,,Mombasa,,,,,Kengelani road,fuel,,,
6041085046,,National Oil Nyali Road,,Mombasa,,,,,Nyali  Road,fuel,,,
6041193308,,Check Point Filling Station,,Mombasa,,,,,Old Malindi Road,fuel,,,
6041279407,,Kobil Kiembeni,,Mombasa,,,,,Old Malindi Road,fuel,,,
6041279408,,Al-Leyl Petrol Station,,Mombasa,,,,,Old Malindi Road,fuel,,,
6041682424,,Petro Utange,,Mombasa,,,,,Old Malindi Road,fuel,,,
6045649316,,OLA Energy,,Mombasa,,,,,Ronald Ngala Road,fuel,,,
6045649317,,OLA Energy,,Mombasa,,,,,Ronald Ngala road,fuel,,,
6048411436,,OLA,,Mombasa,,,,,Kismayu Road,fuel,,,
6048411438,,Oilibya Mombasa Lpg,,Mombasa,,,,,Kismayu Road,fuel,,,
6048461265,,Vivo Energy Kenya,,Mombasa,,,,,Shimanzi Rd,fuel,,,
6048586679,,Total,,Mombasa,,,,,Sauti ya Kenya Road,fuel,,,
6048913155,,National Oil Corporation-Mackinon,,Mombasa,,,,,Archbishop Makarios Road,fuel,,,
6054282205,,Shell,,Mombasa,,,,,Moi Avenue,fuel,,,
6054284408,,Rubis,,Mombasa,,,,,Tangana Road,fuel,,,
6054436374,,Petrol Max,,Kiambu,,,,,Thika-Mangu Flyover Road,fuel,,,
6054437310,,Trojan Petrol Station,,Kiambu,,,,,Thika-Mang'u Road,fuel,,,
6054523197,,Albentco Petrol Station,,Bathi Location,,,,,Nairobi Road,fuel,,,
6054560660,,Rubis,,Uplands,,,,,Nairobi-Nakuru Road,fuel,,,
6054560954,,Rubis,,Uplands,,,,,Uplands-Githunguri Road,fuel,,,
6054858991,,Shell,,Mombasa,,,,,Ronald Ngala Road,fuel,,,
6054858992,,Rubis,,Mombasa,,,,,koinage road,fuel,,,
6054861951,,National Oil Corporation-Mai Mahiu,,Mai Maihu,,,,,Mt. Suswa Road,fuel,,,
6054861952,,Shell,,Mai Maihu,,,,,Kamandura-Maai Mahiu-Narok Road,fuel,,,
6054877095,,National Oil Corporation-Osupuko,,Narok,,,,,Kaplong-Narok-Maai Road,fuel,,,
6054877097,,Total,,Narok,,,,,Kaplong-Narok-Maai Road,fuel,,,
6054978093,,Lungalunga Filling Station,,Lunga-lunga,,,,,Lungalunga-Ramisi Road,fuel,,,
6054978095,,Zoom Petrol Station,,Lunga-lunga,,,,,Lungalunga-Ramisi Road,fuel,,,
6054980226,,Shell,,,,,,,Nairobi - Nakuru Road,fuel,,,
6054980227,,MS-OIL Petrol,24/7,,,,,,Nairobi - Nakuru Road,fuel,,,
6057270335,,Bomani Petro Statoin,,Msambweni,,,,,Ukunda-Ramisi Road,fuel,,,
6057983906,,Triton,,Naivasha,,,,,Moi Avenue,fuel,,,
6057983909,,Total,,Naivasha,,,,,Moi Avenue,fuel,,,
6057983911,,Sahara,,Naivasha,,,,,Moi Avenue,fuel,,,
6057983925,,Gas It Up,,Naivasha,,,,,Kariuki Chotora,fuel,,,
6057983938,,Total,,Naivasha,,,,,Kariuki Chotora,fuel,,,
6057983964,,Delta Service Station- Naivasha Town,,Naivasha,,,,,Moi Avenue,fuel,,,
6060263763,,Petrol Station,,Limuru,,,,,Dagoretti Road,fuel,,,
6060383920,,Flamex Petroleum Ukunda Depot,,Diani Beach,,,,,Diani Beach Road,fuel,,,
6060795607,,Grand Petroleum Station,,Diani Beach,,,,,Diani Beach Road,fuel,,,
6060954638,,Petro,,Diani Beach,,,,,Diani Beach Road,fuel,,,
6063162905,,Diani - Mart Service Station,,Ukunda,,,,,Ukunda-Ramisi Road,fuel,,,
6063162907,,Total Ukunda Service Station,,Ukunda,,,,,Ukunda-Ramisi Road,fuel,,,
6063333832,,Bakri Petrol Station,,Kiambu,,,,,Nairobi-Nakuru Road,fuel,,,
6063333836,,Globe Petrol Station,,Kiambu,,,,,Mutarakwa-Limuru Road,fuel,,,
6063334551,,Lina Oil,,Kiambu,,,,,Kiambu Road,fuel,,,
